".model",".strategy_names","markov_cycle","state_names","count"
"standard","standard",16,"RevisionTHR",2.28015552833911
"standard","standard",17,"RevisionTHR",2.26391683974431
"standard","standard",18,"RevisionTHR",2.24552646636131
"standard","standard",19,"RevisionTHR",2.22238584213719
"standard","standard",20,"RevisionTHR",2.19522952768182
"standard","standard",21,"RevisionTHR",2.1645908857324
"standard","standard",22,"RevisionTHR",2.13095051975033
"standard","standard",23,"RevisionTHR",2.09473844233637
"standard","standard",24,"RevisionTHR",2.0563405114605
"standard","standard",25,"RevisionTHR",2.01610358060684
"standard","standard",26,"RevisionTHR",1.97433983108349
"standard","standard",27,"RevisionTHR",1.72088437134785
"standard","standard",28,"RevisionTHR",1.50555047240811
"standard","standard",29,"RevisionTHR",1.31543250727311
"standard","standard",30,"RevisionTHR",1.148153916145
"standard","standard",31,"RevisionTHR",1.00117989641555
"standard","standard",32,"RevisionTHR",0.872225769486344
"standard","standard",33,"RevisionTHR",0.759228357443968
"standard","standard",34,"RevisionTHR",0.66033249086164
"standard","standard",35,"RevisionTHR",0.573875898626559
"standard","standard",36,"RevisionTHR",0.498373813642515
"standard","standard",37,"RevisionTHR",0.432503730736736
"standard","standard",38,"RevisionTHR",0.375090642123835
"standard","standard",39,"RevisionTHR",0.325092968749665
"standard","standard",40,"RevisionTHR",0.281589325709519
"standard","standard",41,"RevisionTHR",0.243766199833941
"standard","standard",42,"RevisionTHR",0.210906573044665
"standard","standard",43,"RevisionTHR",0.182379492692928
"standard","standard",44,"RevisionTHR",0.1576305670468
"standard","standard",45,"RevisionTHR",0.13617334822526
"standard","standard",46,"RevisionTHR",0.117581554481976
"standard","standard",47,"RevisionTHR",0.101482077485291
"standard","standard",48,"RevisionTHR",0.0875487170776173
"standard","standard",49,"RevisionTHR",0.0754965851114771
"standard","standard",50,"RevisionTHR",0.0650771207173302
"standard","new",1,"RevisionTHR",0
"standard","new",2,"RevisionTHR",0
"standard","new",3,"RevisionTHR",0.202553682449249
"standard","new",4,"RevisionTHR",0.254381764847178
"standard","new",5,"RevisionTHR",0.302391681051636
"standard","new",6,"RevisionTHR",0.345286265094763
"standard","new",7,"RevisionTHR",0.380123473241727
"standard","new",8,"RevisionTHR",0.412012577933197
"standard","new",9,"RevisionTHR",0.441438074434935
"standard","new",10,"RevisionTHR",0.468831599015752
"standard","new",11,"RevisionTHR",0.494490423563624
"standard","new",12,"RevisionTHR",0.51863186150117
"standard","new",13,"RevisionTHR",0.541420242896689
"standard","new",14,"RevisionTHR",0.562983468021277
"standard","new",15,"RevisionTHR",0.58342355082883
"standard","new",16,"RevisionTHR",0.602823607707387
"standard","new",17,"RevisionTHR",0.59935812014249
"standard","new",18,"RevisionTHR",0.595323513858755
"standard","new",19,"RevisionTHR",0.590028712004198
"standard","new",20,"RevisionTHR",0.583662382822165
"standard","new",21,"RevisionTHR",0.576360845767395
"standard","new",22,"RevisionTHR",0.568247139916388
"standard","new",23,"RevisionTHR",0.559431530116582
"standard","new",24,"RevisionTHR",0.550013146178792
"standard","new",25,"RevisionTHR",0.540081289216749
"standard","new",26,"RevisionTHR",0.529716527617524
"standard","new",27,"RevisionTHR",0.462527022612642
"standard","new",28,"RevisionTHR",0.405363108884241
"standard","new",29,"RevisionTHR",0.354803510154146
"standard","new",30,"RevisionTHR",0.310238839276123
"standard","new",31,"RevisionTHR",0.271013580659414
"standard","new",32,"RevisionTHR",0.236535724531208
"standard","new",33,"RevisionTHR",0.206269506302912
"standard","new",34,"RevisionTHR",0.179732168422453
"standard","new",35,"RevisionTHR",0.156490260776148
"standard","new",36,"RevisionTHR",0.136155834413901
"standard","new",37,"RevisionTHR",0.118382644907176
"standard","new",38,"RevisionTHR",0.102862453065105
"standard","new",39,"RevisionTHR",0.0893214828386599
"standard","new",40,"RevisionTHR",0.077517075269793
"standard","new",41,"RevisionTHR",0.067234561523691
"standard","new",42,"RevisionTHR",0.0582843662534811
"standard","new",43,"RevisionTHR",0.0504993438901772
"standard","new",44,"RevisionTHR",0.04373234422201
"standard","new",45,"RevisionTHR",0.0378539992707088
"standard","new",46,"RevisionTHR",0.0327507205505033
"standard","new",47,"RevisionTHR",0.0283228939646758
"standard","new",48,"RevisionTHR",0.024483258584536
"standard","new",49,"RevisionTHR",0.0211554551554379
"standard","new",50,"RevisionTHR",0.0182727302190993
"standard","standard",1,"SuccessfulRevision",0
"standard","standard",2,"SuccessfulRevision",0
"standard","standard",3,"SuccessfulRevision",0
"standard","standard",4,"SuccessfulRevision",0.756061652927956
"standard","standard",5,"SuccessfulRevision",1.66963737415688
"standard","standard",6,"SuccessfulRevision",2.68313762697399
"standard","standard",7,"SuccessfulRevision",3.7932571106021
"standard","standard",8,"SuccessfulRevision",4.96428601149646
"standard","standard",9,"SuccessfulRevision",6.18146302730253
"standard","standard",10,"SuccessfulRevision",7.43270173839288
"standard","standard",11,"SuccessfulRevision",8.70823564331545
"standard","standard",12,"SuccessfulRevision",9.99998475319954
"standard","standard",13,"SuccessfulRevision",11.3011604097181
"standard","standard",14,"SuccessfulRevision",12.6059930620985
"standard","standard",15,"SuccessfulRevision",13.9095372639041
"standard","standard",16,"SuccessfulRevision",14.6562504100216
"standard","standard",17,"SuccessfulRevision",15.3984550936907
"standard","standard",18,"SuccessfulRevision",16.0562184944537
"standard","standard",19,"SuccessfulRevision",16.6354423363061
"standard","standard",20,"SuccessfulRevision",17.1390689606016
"standard","standard",21,"SuccessfulRevision",17.5704461701825
"standard","standard",22,"SuccessfulRevision",17.9331029089015
"standard","standard",23,"SuccessfulRevision",18.2306834434679
"standard","standard",24,"SuccessfulRevision",18.4668897083283
"standard","standard",25,"SuccessfulRevision",18.6454350044678
"standard","standard",26,"SuccessfulRevision",16.6769929403142
"standard","standard",27,"SuccessfulRevision",15.0575399441511
"standard","standard",28,"SuccessfulRevision",13.5444049462667
"standard","standard",29,"SuccessfulRevision",12.1483351125651
"standard","standard",30,"SuccessfulRevision",10.8673343376392
"standard","standard",31,"SuccessfulRevision",9.69783422026994
"standard","standard",32,"SuccessfulRevision",8.63486976468346
"standard","standard",33,"SuccessfulRevision",7.67255783950325
"standard","standard",34,"SuccessfulRevision",6.80445881293078
"standard","standard",35,"SuccessfulRevision",6.02385660763089
"standard","standard",36,"SuccessfulRevision",5.32397173201103
"standard","standard",37,"SuccessfulRevision",4.69812010963308
"standard","standard",38,"SuccessfulRevision",4.13982839088051
"standard","standard",39,"SuccessfulRevision",3.64291461821758
"standard","standard",40,"SuccessfulRevision",3.20154156840102
"standard","standard",41,"SuccessfulRevision",2.81024878245199
"standard","standard",42,"SuccessfulRevision",2.46396818773331
"standard","standard",43,"SuccessfulRevision",2.15802728883932
"standard","standard",44,"SuccessfulRevision",1.88814313034362
"standard","standard",45,"SuccessfulRevision",1.65040959247971
"standard","standard",46,"SuccessfulRevision",1.44128005082014
"standard","standard",47,"SuccessfulRevision",1.25754699567891
"standard","standard",48,"SuccessfulRevision",1.09631985126152
"standard","standard",49,"SuccessfulRevision",0.955001945568223
"standard","standard",50,"SuccessfulRevision",0.831267348605524
"standard","new",1,"SuccessfulRevision",0
"standard","new",2,"SuccessfulRevision",0
"standard","new",3,"SuccessfulRevision",0
"standard","new",4,"SuccessfulRevision",0.197145499127854
"standard","new",5,"SuccessfulRevision",0.435528576044342
"standard","new",6,"SuccessfulRevision",0.70020941947122
"standard","new",7,"SuccessfulRevision",0.990403515773115
"standard","new",8,"SuccessfulRevision",1.2968572080311
"standard","new",9,"SuccessfulRevision",1.61577405921527
"standard","new",10,"SuccessfulRevision",1.94404821561345
"standard","new",11,"SuccessfulRevision",2.27917267360201
"standard","new",12,"SuccessfulRevision",2.61907468397498
"standard","new",13,"SuccessfulRevision",2.96201318455944
"standard","new",14,"SuccessfulRevision",3.30650823006591
"standard","new",15,"SuccessfulRevision",3.65129050975104
"standard","new",16,"SuccessfulRevision",3.85043676693223
"standard","new",17,"SuccessfulRevision",4.04893700176496
"standard","new",18,"SuccessfulRevision",4.22566669041196
"standard","new",19,"SuccessfulRevision",4.38213409044857
"standard","new",20,"SuccessfulRevision",4.51906615466352
"standard","new",21,"SuccessfulRevision",4.63729666688722
"standard","new",22,"SuccessfulRevision",4.73770775213675
"standard","new",23,"SuccessfulRevision",4.8212130524445
"standard","new",24,"SuccessfulRevision",4.88874294469395
"standard","new",25,"SuccessfulRevision",4.94123265929972
"standard","new",26,"SuccessfulRevision",4.42435561712979
"standard","new",27,"SuccessfulRevision",3.99961322150289
"standard","new",28,"SuccessfulRevision",3.60216586501408
"standard","new",29,"SuccessfulRevision",3.23496959196061
"standard","new",30,"SuccessfulRevision",2.89758137202589
"standard","new",31,"SuccessfulRevision",2.5891416109259
"standard","new",32,"SuccessfulRevision",2.30841723187768
"standard","new",33,"SuccessfulRevision",2.05392683499106
"standard","new",34,"SuccessfulRevision",1.82403548413597
"standard","new",35,"SuccessfulRevision",1.61702835720849
"standard","new",36,"SuccessfulRevision",1.43116699641675
"standard","new",37,"SuccessfulRevision",1.26473146007312
"standard","new",38,"SuccessfulRevision",1.11605113022828
"standard","new",39,"SuccessfulRevision",0.983526466329134
"standard","new",40,"SuccessfulRevision",0.865643598326681
"standard","new",41,"SuccessfulRevision",0.760983315885276
"standard","new",42,"SuccessfulRevision",0.668225726120174
"standard","new",43,"SuccessfulRevision",0.586151613704337
"standard","new",44,"SuccessfulRevision",0.513641337932906
"standard","new",45,"SuccessfulRevision",0.449671935755579
"standard","new",46,"SuccessfulRevision",0.393312962868581
"standard","new",47,"SuccessfulRevision",0.343721492300056
"standard","new",48,"SuccessfulRevision",0.300136597699656
"standard","new",49,"SuccessfulRevision",0.261873573451722
"standard","new",50,"SuccessfulRevision",0.228318082937594
"standard","standard",1,"Death",0
"standard","standard",2,"Death",20
"standard","standard",3,"Death",26.566
"standard","standard",4,"Death",33.1035438454727
"standard","standard",5,"Death",39.6012483817947
"standard","standard",6,"Death",58.1601046866751
"standard","standard",7,"Death",76.3640376816258
"standard","standard",8,"Death",94.2192732521856
"standard","standard",9,"Death",111.732309149269
"standard","standard",10,"Death",128.909555180244
"standard","standard",11,"Death",145.757330818726
"standard","standard",12,"Death",162.281856625661
"standard","standard",13,"Death",178.489250013404
"standard","standard",14,"Death",194.385523163479
"standard","standard",15,"Death",209.976582256033
"standard","standard",16,"Death",252.2870284109
"standard","standard",17,"Death",292.335275501484
"standard","standard",18,"Death",330.240616598949
"standard","standard",19,"Death",366.117654140233
"standard","standard",20,"Death",400.074807360573
"standard","standard",21,"Death",432.214709757336
"standard","standard",22,"Death",462.634514603033
"standard","standard",23,"Death",491.426187082166
"standard","standard",24,"Death",518.676780842117
"standard","standard",25,"Death",544.468699877293
"standard","standard",26,"Death",615.0252672079
"standard","standard",27,"Death",674.658842640739
"standard","standard",28,"Death",725.056071487379
"standard","standard",29,"Death",767.647502630581
"standard","standard",30,"Death",803.641977873513
"standard","standard",31,"Death",834.061162777016
"standard","standard",32,"Death",859.768518377062
"standard","standard",33,"Death",881.493796247683
"standard","standard",34,"Death",899.85374115569
"standard","standard",35,"Death",915.369588674607
"standard","standard",36,"Death",928.48185386575
"standard","standard",37,"Death",939.562830363605
"standard","standard",38,"Death",948.927154297934
"standard","standard",39,"Death",956.840732625456
"standard","standard",40,"Death",963.52828907441
"standard","standard",41,"Death",969.179741712206
"standard","standard",42,"Death",973.955593019153
"standard","standard",43,"Death",977.991485351249
"standard","standard",44,"Death",981.40205100873
"standard","standard",45,"Death",984.284166123919
"standard","standard",46,"Death",986.719700674901
"standard","standard",47,"Death",988.777842641516
"standard","standard",48,"Death",990.517062242159
"standard","standard",49,"Death",991.986771981414
"standard","standard",50,"Death",993.228729610394
"standard","new",1,"Death",0
"standard","new",2,"Death",20
"standard","new",3,"Death",26.566
"standard","new",4,"Death",33.092058873649
"standard","new",5,"Death",39.5754297144925
"standard","new",6,"Death",58.1176717546238
"standard","new",7,"Death",76.3029064150615
"standard","new",8,"Death",94.1378627907156
"standard","new",9,"Death",111.629242290413
"standard","new",10,"Death",128.783626675697
"standard","new",11,"Death",145.607479312837
"standard","new",12,"Death",162.10714477057
"standard","new",13,"Death",178.288849513728
"standard","new",14,"Death",194.158703122971
"standard","new",15,"Death",209.722699822058
"standard","new",16,"Death",252.014203852595
"standard","new",17,"Death",292.043500418635
"standard","new",18,"Death",329.931160308641
"standard","new",19,"Death",365.791749702406
